giorno,data_pubblicazione,orario_pubblicazione,strategia,canale_sorgente,url_sorgente_reale,titolo_originale,vph_sorgente,titolo_adattato,hook_3_secondi,caption_descrizione,hashtag_set,comando_cli
20,2026-09-15,19:00,A,PsicologiaFemminile-f8c,https://www.youtube.com/watch?v=AzJuqmi7_sY,Come comportarsi con una donna che ti ha ferito | Stoicismo,1.48,Come Comportarti (Con Dignita') Con Una Donna Che Ti Ha Ferito,Non serve vendicarsi. Serve una strategia migliore.,La calma stoica come arma psicologica dopo una ferita d'amore. Ecco come applicarla.,#relazioni #psicologia #stoicismo #resilienza #legamidiamore #crescitapersonale,python apex7_orchestrator.py run --canale legamidiamore --video-sorgente https://www.youtube.com/watch?v=AzJuqmi7_sY --phase 1
20,2026-09-15,21:30,C,DinamicheSocialiAcademy,https://www.youtube.com/watch?v=ZVbafCxosrU,6 Errori che distruggono il flirt la soluzione è,0.1,6 Errori Che Distruggono Il Flirt Prima Ancora Che Inizi,"Il flirt muore spesso nei primi secondi, per 6 errori precisi.",6 errori comuni che uccidono il flirt sul nascere — e come evitarli.,#relazioni #psicologia #flirt #errori #legamidiamore #tecnica,python apex7_orchestrator.py run --canale legamidiamore --video-sorgente https://www.youtube.com/watch?v=ZVbafCxosrU --phase 1
21,2026-09-16,20:30,B,PsicologiadellAttrazionee,https://www.youtube.com/watch?v=RliwdVK63TQ,Come Farle Cambiare Idea Anche Se All'Inizio Non Era Interessata,0.25,Come Far Cambiare Idea A Una Donna Che All'Inizio Non Era Interessata,Il primo 'no' non e' sempre definitivo. Ecco come cambia una prima impressione.,"La psicologia di come cambia una prima impressione, spiegata passo per passo.",#relazioni #psicologia #primaimpressione #tecnica #legamidiamore #attrazione,python apex7_orchestrator.py run --canale legamidiamore --video-sorgente https://www.youtube.com/watch?v=RliwdVK63TQ --phase 1
21,2026-09-16,19:00,A,PsicologiaFemminile-f8c,https://www.youtube.com/watch?v=wRepp7aPTcU,BACIALA QUI E ti supplicherà di portarla a casa stasera. Psicologia dell'amore,1.37,Il Punto Esatto Da Baciare Che Accende L'Attrazione (Spiegazione Psicologica),Non tutti i baci sono uguali — la posizione conta piu' di quanto pensi.,La psicologia del bacio: un punto preciso che intensifica l'attrazione reciproca.,#relazioni #psicologia #attrazione #baci #legamidiamore #psicologiadellamore,python apex7_orchestrator.py run --canale legamidiamore --video-sorgente https://www.youtube.com/watch?v=wRepp7aPTcU --phase 1
22,2026-09-17,19:00,A,PsicologiaFemminile-f8c,https://www.youtube.com/watch?v=FWFGk9fthJ0,Le donne più giovani ODIANO quando gli uomini più grandi fanno questo 😳 | 7 abitudini poco attraenti,1.22,7 Abitudini Che Rendono Un Uomo Meno Attraente (Anche Se Non Se Ne Accorge),Ci sono abitudini che tolgono attrazione senza che tu te ne accorga.,7 abitudini comuni che spengono l'attrazione — riconoscile prima che sia tardi.,#relazioni #psicologia #attrazione #abitudini #legamidiamore #psicologiadellamore,python apex7_orchestrator.py run --canale legamidiamore --video-sorgente https://www.youtube.com/watch?v=FWFGk9fthJ0 --phase 1
22,2026-09-17,21:30,C,DinamicheSocialiAcademy,https://www.youtube.com/watch?v=RrB8zhxomVc,Relazioni 2026 L'Unica Mossa Vincente è NON GIOCARE 🚪,0.09,Relazioni Nel 2026: L'Unica Mossa Vincente E' Smettere Di Giocare,Nel 2026 la strategia vincente e' una sola: smettere di giocare.,Perche' nel 2026 l'autenticita' batte ogni gioco psicologico nelle relazioni.,#relazioni #psicologia #dating2026 #veritascomoda #legamidiamore #societa,python apex7_orchestrator.py run --canale legamidiamore --video-sorgente https://www.youtube.com/watch?v=RrB8zhxomVc --phase 1
23,2026-09-18,19:00,A,PsicologiaFemminile-f8c,https://www.youtube.com/watch?v=2q8baJHw53M,6 segnali che indicano che le donne ti trovano attraente (ma non lo dicono) #psicologia,1.2,6 Segnali Che Una Donna Ti Trova Attraente (Anche Se Non Lo Dira' Mai),"Non lo dira' mai a voce, ma questi 6 segnali parlano chiaro.",L'attrazione femminile si nasconde in gesti piccoli. Ecco i 6 segnali da notare.,#relazioni #psicologia #segnalidilei #attrazione #legamidiamore #psicologiadellamore,python apex7_orchestrator.py run --canale legamidiamore --video-sorgente https://www.youtube.com/watch?v=2q8baJHw53M --phase 1
23,2026-09-18,21:30,C,DinamicheSocialiAcademy,https://www.youtube.com/watch?v=PcQUfbRDZDQ,Smetti di Fare il Bravo Ragazzo Il Trucco del Confine a Freddo per Farti Rispettare 🧊,0.09,Smetti Di Essere Solo Gentile: Il Confine Psicologico Che Ti Fa Rispettare,La gentilezza senza confini non genera rispetto. Genera l'opposto.,Come porre un confine psicologico chiaro senza smettere di essere una brava persona.,#relazioni #psicologia #rispetto #confini #legamidiamore #crescitapersonale,python apex7_orchestrator.py run --canale legamidiamore --video-sorgente https://www.youtube.com/watch?v=PcQUfbRDZDQ --phase 1
24,2026-09-19,19:00,A,PsicologiaFemminile-f8c,https://www.youtube.com/watch?v=WCW_GzBEdmE,😱 Mio suocero ha fatto quello che mio marito non ha mai osato fare | Storia vera,1.16,Una Storia Vera Che Spiega Meglio Di Mille Consigli Cosa Vuole Davvero Una Donna,A volte una storia vera insegna piu' di dieci consigli.,Una storia vera sul gesto che fa davvero la differenza in una relazione.,#relazioni #psicologia #storievere #legamidiamore #psicologiadellamore #attrazione,python apex7_orchestrator.py run --canale legamidiamore --video-sorgente https://www.youtube.com/watch?v=WCW_GzBEdmE --phase 1
24,2026-09-19,20:30,B,PsicologiadellAttrazionee,https://www.youtube.com/watch?v=QrYtxeuxZwk,5 Segreti Psicologici che Fanno Impazzire le Donne di Te,0.24,5 Principi Psicologici Che Aumentano Davvero Il Tuo Fascino,"5 principi psicologici, non trucchi da manuale — ecco quali sono.","5 principi di psicologia dell'attrazione applicabili da subito, spiegati uno per uno.",#relazioni #psicologia #fascino #tecnica #legamidiamore #attrazione,python apex7_orchestrator.py run --canale legamidiamore --video-sorgente https://www.youtube.com/watch?v=QrYtxeuxZwk --phase 1
24,2026-09-19,21:30,C,DinamicheSocialiAcademy,https://www.youtube.com/watch?v=35-dXJiLisw,Smetti di Essere Sempre Disponibile L'Errore Che Ti Rende Invisibile,0.08,Perche' Essere Sempre Disponibile Ti Rende Meno Attraente (Non Piu'),La disponibilita' totale non attira. Fa l'esatto contrario.,"La psicologia di perche' la disponibilita' costante riduce, invece di aumentare, l'attrazione.",#relazioni #psicologia #attrazione #veritascomoda #legamidiamore #crescitapersonale,python apex7_orchestrator.py run --canale legamidiamore --video-sorgente https://www.youtube.com/watch?v=35-dXJiLisw --phase 1
25,2026-09-20,19:00,A,PsicologiaFemminile-f8c,https://www.youtube.com/watch?v=K_Xvm5xtH5o,Si comporta in modo freddo... ma questi segnali indicano che è ossessionata da te,1.06,"Fredda In Apparenza, Ma Questi Segnali Dicono Che In Realta' Pensa Solo A Te",La freddezza puo' essere una maschera — questi segnali lo dimostrano.,Comportamento freddo non sempre significa disinteresse. Ecco i segnali contraddittori da leggere.,#relazioni #psicologia #segnalidilei #contraddizione #attrazione #legamidiamore,python apex7_orchestrator.py run --canale legamidiamore --video-sorgente https://www.youtube.com/watch?v=K_Xvm5xtH5o --phase 1
25,2026-09-20,20:30,B,PsicologiadellAttrazionee,https://www.youtube.com/watch?v=AeR7lnC8WA4,Stai Uccidendo l’Attrazione Senza Saperlo: (7 Errori da Evitare Ora),0.18,7 Errori Che Uccidono L'Attrazione Senza Che Tu Te Ne Accorga,Forse stai spegnendo l'attrazione senza saperlo. Ecco 7 errori comuni.,7 errori comuni che eliminano l'attrazione — riconoscerli e' il primo passo per smettere.,#relazioni #psicologia #errori #attrazione #legamidiamore #tecnica,python apex7_orchestrator.py run --canale legamidiamore --video-sorgente https://www.youtube.com/watch?v=AeR7lnC8WA4 --phase 1
25,2026-09-20,21:30,C,DinamicheSocialiAcademy,https://www.youtube.com/watch?v=HAnjvUyv-nQ,Relazioni 2026 Perché è un Gioco Truccato e come vincere,0.08,Perche' Le Relazioni Nel 2026 Sembrano Un Gioco Truccato (E Come Muoversi Davvero),Le regole del dating sono cambiate. Ecco come muoversi davvero oggi.,Come muoversi con lucidita' in un contesto di dating che sembra cambiato per sempre.,#relazioni #psicologia #dating2026 #societa #legamidiamore #veritascomoda,python apex7_orchestrator.py run --canale legamidiamore --video-sorgente https://www.youtube.com/watch?v=HAnjvUyv-nQ --phase 1
26,2026-09-21,19:00,A,PsicologiaFemminile-f8c,https://www.youtube.com/watch?v=IhCMUfkD_oM,"Smetti di dire ""Sei bellissima""... Dì invece queste 8 cose che lei sentirà.",1.04,8 Frasi Che Colpiscono Una Donna Molto Piu' Di 'Sei Bellissima',Smetti di dirle che e' bella. Dille questo invece.,"8 frasi alternative, psicologicamente piu' efficaci del solito complimento sull'aspetto.",#relazioni #psicologia #complimenti #legamidiamore #psicologiadellamore #attrazione,python apex7_orchestrator.py run --canale legamidiamore --video-sorgente https://www.youtube.com/watch?v=IhCMUfkD_oM --phase 1
26,2026-09-21,21:30,C,DinamicheSocialiAcademy,https://www.youtube.com/watch?v=NCWBYUCS2KU,Sei solo un partner di transizione 5 segnali per capire se ti sta usando per dimenticare l'ex,0.07,5 Segnali Per Capire Se Sei Solo Un Partner Di Transizione (Non Il Vero Obiettivo),A volte non sei l'obiettivo. Sei la transizione verso qualcun altro.,5 segnali psicologici per capire se sei un partner di transizione — e proteggerti.,#relazioni #psicologia #consapevolezza #legamidiamore #societa #veritascomoda,python apex7_orchestrator.py run --canale legamidiamore --video-sorgente https://www.youtube.com/watch?v=NCWBYUCS2KU --phase 1
27,2026-09-22,19:00,A,PsicologiaFemminile-f8c,https://www.youtube.com/watch?v=cDsuI-bnIAc,10 cose che NON dovresti MAI fare per una donna - Psicologia femminile,0.84,10 Cose Che Non Dovresti Mai Fare Per Una Donna (Anche Se Sembrano Romantiche),"Alcune cose che fai per amore, in realta', allontanano.",10 comportamenti apparentemente romantici che in psicologia fanno l'effetto opposto.,#relazioni #psicologia #erroricomuni #legamidiamore #psicologiadellamore #attrazione,python apex7_orchestrator.py run --canale legamidiamore --video-sorgente https://www.youtube.com/watch?v=cDsuI-bnIAc --phase 1
27,2026-09-22,21:30,C,DinamicheSocialiAcademy,https://www.youtube.com/watch?v=QMLgtRlczqY,Come Il Silenzio La Costringe A Inseguirti E Rispettarti,0.06,"Perche' Il Silenzio, Usato Bene, Genera Piu' Rispetto Di Mille Parole",A volte il silenzio comunica piu' di qualsiasi discorso.,"La psicologia del silenzio come strumento di rispetto reciproco, non come punizione.",#relazioni #psicologia #rispetto #legamidiamore #tecnica #crescitapersonale,python apex7_orchestrator.py run --canale legamidiamore --video-sorgente https://www.youtube.com/watch?v=QMLgtRlczqY --phase 1
28,2026-09-23,20:30,B,PsicologiadellAttrazionee,https://www.youtube.com/watch?v=BRMzetoc3UE,7 segnali che ti scrive perché è gelosa (anche se non lo dirà mai),0.17,7 Segnali Che Ti Scrive Per Gelosia (Anche Se Dira' Il Contrario),A volte scrive per un motivo che non ammettera' mai: la gelosia.,"7 segnali che rivelano quando un messaggio nasconde gelosia, non semplice curiosita'.",#relazioni #psicologia #gelosia #segnalidilei #legamidiamore #attrazione,python apex7_orchestrator.py run --canale legamidiamore --video-sorgente https://www.youtube.com/watch?v=BRMzetoc3UE --phase 1
28,2026-09-23,21:30,C,DinamicheSocialiAcademy,https://www.youtube.com/watch?v=PEeGQOAKs7U,🏆 Sei stato scelto o solo SELEZIONATO La verità che ti cambierà la vita 💔,0.06,'Scelto' O Solo 'Selezionato'? La Differenza Psicologica Che Cambia Tutto,C'e' una differenza enorme tra essere scelto ed essere solo selezionato.,"La differenza psicologica, spesso ignorata, tra essere davvero scelti e solo selezionati.",#relazioni #psicologia #veritascomoda #legamidiamore #societa #crescitapersonale,python apex7_orchestrator.py run --canale legamidiamore --video-sorgente https://www.youtube.com/watch?v=PEeGQOAKs7U --phase 1
29,2026-09-24,19:00,A,PsicologiaFemminile-f8c,https://www.youtube.com/watch?v=1OPc6tk27_Q,🔥 4 segnali che indicano che lei ti desidera segretamente: riconoscili prima che sia troppo tardi!,0.81,"4 Segnali Silenziosi Che Rivelano Il Desiderio Di Una Donna (Solo Corpo, Zero Parole)",Il corpo comunica desiderio anche quando le parole tacciono.,"4 segnali di solo linguaggio del corpo — nessuna parola, solo psicologia non verbale.",#relazioni #psicologia #linguaggiodelcorpo #desiderio #legamidiamore #attrazione,python apex7_orchestrator.py run --canale legamidiamore --video-sorgente https://www.youtube.com/watch?v=1OPc6tk27_Q --phase 1
29,2026-09-24,21:30,C,DinamicheSocialiAcademy,https://www.youtube.com/watch?v=GD2g0extf9w,6 Verità sulla Psicologia Femminile che ti Salveranno dai Fallimenti ⚠️,0.06,6 Verita' Sulla Psicologia Femminile Che Evitano Gli Errori Piu' Comuni,"6 verita' che, se le conosci prima, ti evitano gli errori piu' comuni.","6 verita' di base sulla psicologia femminile, spiegate per evitare i fallimenti piu' frequenti.",#relazioni #psicologia #psicologiafemminile #legamidiamore #veritascomoda #crescitapersonale,python apex7_orchestrator.py run --canale legamidiamore --video-sorgente https://www.youtube.com/watch?v=GD2g0extf9w --phase 1
30,2026-09-25,19:00,A,PsicologiaFemminile-f8c,https://www.youtube.com/watch?v=IWVC1FtczxU,"SE NASCONDE QUALCOSA, QUESTI CAMBIAMENTI COMINCIANO A MANIFESTARE",0.73,"Se Ti Nasconde Qualcosa, Questi Cambiamenti Comportamentali Emergono Per Primi","Quando si nasconde qualcosa, il comportamento cambia prima delle parole.",I primi segnali comportamentali che emergono quando c'e' qualcosa di non detto.,#relazioni #psicologia #comportamento #segnalidilei #legamidiamore #psicologiadellamore,python apex7_orchestrator.py run --canale legamidiamore --video-sorgente https://www.youtube.com/watch?v=IWVC1FtczxU --phase 1
30,2026-09-25,21:30,C,DinamicheSocialiAcademy,https://www.youtube.com/watch?v=ByvZnDPxqvI,Le farfalle nello stomaco Sono un allarme,0.06,Le Farfalle Nello Stomaco Non Sono Sempre Amore: Ecco Cosa Sono Davvero,Le farfalle nello stomaco non sono sempre un buon segno.,Cosa dice davvero la psicologia sulle farfalle nello stomaco — non e' sempre amore.,#relazioni #psicologia #veritascomoda #legamidiamore #psicologiadellamore #societa,python apex7_orchestrator.py run --canale legamidiamore --video-sorgente https://www.youtube.com/watch?v=ByvZnDPxqvI --phase 1
